epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_pred_m,val_pos_pred_m,val_precision_m,val_recall_m,val_tn_m,val_tp_m
0,0.499837189912796,69.12000274658203,54.93333435058594,0.3411780297756195,158.3733367919922,97.62666320800781,0.4564007520675659,0.3811960816383362,89.25333404541016,42.69333267211914,0.5,185.0,0.0,0.6942218542098999,256.0,0.0,0.0,0.0,71.0,0.0
1,0.5181064605712891,68.65333557128906,51.31999969482422,0.34058821201324463,161.52000427246094,94.4800033569336,0.47485077381134033,0.3894927203655243,92.86666870117188,43.15999984741211,0.5,185.0,0.0,0.6940723061561584,256.0,0.0,0.0,0.0,71.0,0.0
2,0.5446603894233704,73.04000091552734,37.426666259765625,0.3382323086261749,179.8000030517578,76.19999694824219,0.5154411792755127,0.3480599820613861,106.76000213623047,38.77333450317383,0.5,185.0,0.0,0.6985809803009033,256.0,0.0,0.0,0.0,71.0,0.0
3,0.5570441484451294,69.93333435058594,37.7599983215332,0.33470088243484497,176.36000061035156,79.63999938964844,0.5310685038566589,0.3750164806842804,106.42666625976562,41.880001068115234,0.5,185.0,0.0,0.7053318619728088,256.0,0.0,0.0,0.0,71.0,0.0
4,0.5709998607635498,68.72000122070312,35.30666732788086,0.33040651679039,177.60000610351562,78.4000015258789,0.553242027759552,0.38625362515449524,108.87999725341797,43.09333419799805,0.5,185.0,0.0,0.7146962881088257,256.0,0.0,0.0,0.0,71.0,0.0
5,0.5859495401382446,66.23999786376953,34.21333312988281,0.3266667127609253,176.2133331298828,79.78666687011719,0.5745846629142761,0.4082318842411041,109.97333526611328,45.573333740234375,0.49295774102211,185.0,1.0,0.726773202419281,255.0,1.0,0.0,0.0,70.0,0.0
6,0.5995376110076904,64.21333312988281,32.959999084472656,0.3232375383377075,175.44000244140625,80.55999755859375,0.593901515007019,0.426810622215271,111.22666931152344,47.599998474121094,0.48591548204421997,185.0,2.0,0.7428795099258423,254.0,2.0,0.0,0.0,69.0,0.0
7,0.608842134475708,62.79999923706055,32.0,0.3195318579673767,174.98666381835938,81.01333618164062,0.6074626445770264,0.4390259385108948,112.1866683959961,49.01333236694336,0.47723639011383057,183.0,4.0,0.7657909393310547,250.0,6.0,0.3333333432674408,0.010810811072587967,67.0,2.0
8,0.6217629313468933,62.22666549682617,29.0,0.31624463200569153,177.413330078125,78.586669921875,0.6362395286560059,0.44415879249572754,115.1866683959961,49.586666107177734,0.4858393669128418,172.0,7.0,0.7787780165672302,236.0,20.0,0.6499999761581421,0.07027027010917664,64.0,13.0
9,0.6262679100036621,60.01333236694336,30.479999542236328,0.3124953508377075,173.72000122070312,82.27999877929688,0.6317601799964905,0.46378326416015625,113.7066650390625,51.79999923706055,0.487400084733963,161.0,11.0,0.7939547300338745,221.0,35.0,0.6857143044471741,0.1297297328710556,60.0,24.0
10,0.6419389843940735,59.08000183105469,27.293333053588867,0.308853417634964,175.97332763671875,80.02666473388672,0.6628397703170776,0.4725417494773865,116.8933334350586,52.733333587646484,0.4499809443950653,154.0,19.0,0.8394691348075867,206.0,50.0,0.6200000047683716,0.16756756603717804,52.0,31.0
11,0.6468773484230042,56.91999816894531,28.586666107177734,0.30592748522758484,172.52000427246094,83.4800033569336,0.658588707447052,0.4917345643043518,115.5999984741211,54.893333435058594,0.495432049036026,145.0,16.0,0.8564524054527283,200.0,56.0,0.7142857313156128,0.21621622145175934,55.0,40.0
12,0.6551094651222229,56.31999969482422,27.079999923706055,0.3022625744342804,173.42666625976562,82.57333374023438,0.6745772957801819,0.49731123447418213,117.1066665649414,55.49333190917969,0.4997715950012207,146.0,15.0,0.8948491215705872,202.0,54.0,0.7222222089767456,0.2108108103275299,56.0,39.0
