epoch,balanced_acc_m,fn_m,fp_m,loss,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_precision_m,val_neg_pred_m,val_neg_recall_m,val_pos_pred_m,val_precision_m,val_recall_m,val_tn_m,val_tp_m
0,0.5002086758613586,31.1733341217041,49.040000915527344,0.3340764045715332,0.7749860882759094,197.74667358398438,0.7725695967674255,58.253334045410156,0.10462181270122528,0.22784776985645294,166.57333374023438,9.213333129882812,0.5,25.75,0.0,0.6243115067481995,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
1,0.4997637867927551,40.3466682434082,0.30666667222976685,0.3005909323692322,0.8421818017959595,255.65333557128906,0.9985793828964233,0.3466666638851166,0.03999999538064003,0.0009482157183811069,215.30667114257812,0.03999999910593033,0.5,25.75,0.0,0.5614033341407776,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
2,0.49996888637542725,40.38666534423828,0.013333333656191826,0.2765851318836212,0.8422309756278992,255.98666381835938,0.9999377727508545,0.013333333656191826,0.0,0.0,215.60000610351562,0.0,0.5,25.75,0.0,0.5063095092773438,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
3,0.5,40.38666534423828,0.0,0.2579384744167328,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.46146124601364136,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
4,0.5,40.38666534423828,0.0,0.24421155452728271,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.4270791709423065,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
5,0.5,40.38666534423828,0.0,0.23474258184432983,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.4017973840236664,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
6,0.5,40.38666534423828,0.0,0.2286043018102646,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.3836178779602051,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
7,0.5,40.38666534423828,0.0,0.22480633854866028,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.3710213005542755,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
8,0.5,40.38666534423828,0.0,0.22257207334041595,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.3621300458908081,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
9,0.5,40.38666534423828,0.0,0.22132232785224915,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.3560791611671448,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
