epoch,balanced_acc_m,fn_m,fp_m,loss,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m
0,0.5041350722312927,33.2400016784668,35.15999984741211,0.328822523355484,0.8445963263511658,213.97332763671875,0.837186872959137,42.026668548583984,0.16525299847126007,0.17108328640460968,180.73333740234375,6.866666793823242
1,0.5038569569587708,36.98666763305664,15.0,0.32619303464889526,0.8445248007774353,237.8800048828125,0.9304832220077515,18.1200008392334,0.1671854555606842,0.07723093777894974,200.89332580566406,3.119999885559082
2,0.5014488101005554,39.37333297729492,3.1466667652130127,0.3235398232936859,0.8438323736190796,252.1199951171875,0.985382080078125,3.880000114440918,0.05671388655900955,0.017515534535050392,212.74667358398438,0.7333333492279053
3,0.4997701644897461,40.0533332824707,0.36000001430511475,0.3205840587615967,0.8432509899139404,255.586669921875,0.9982950091362,0.41333332657814026,0.007878788746893406,0.0012451965594664216,215.53334045410156,0.0533333346247673
4,0.5,40.106666564941406,0.0,0.31804603338241577,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
5,0.49969395995140076,40.09333419799805,0.20000000298023224,0.31517457962036133,0.8432483673095703,255.7866668701172,0.999070405960083,0.2133333384990692,0.0009523810003884137,0.00031746033346280456,215.69332885742188,0.013333333656191826
6,0.5,40.106666564941406,0.0,0.31263813376426697,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
7,0.5,40.106666564941406,0.0,0.309908002614975,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
8,0.5,40.106666564941406,0.0,0.30707529187202454,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
9,0.5,40.106666564941406,0.0,0.3044417202472687,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
10,0.5,40.106666564941406,0.0,0.30163809657096863,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
11,0.5,40.106666564941406,0.0,0.298711359500885,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
12,0.5,40.106666564941406,0.0,0.29608580470085144,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
13,0.5,40.106666564941406,0.0,0.29347464442253113,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
14,0.5,40.106666564941406,0.0,0.29087162017822266,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
15,0.5,40.106666564941406,0.0,0.2883009910583496,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
16,0.5,40.106666564941406,0.0,0.2858048379421234,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
17,0.5,40.106666564941406,0.0,0.282915860414505,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
18,0.5,40.106666564941406,0.0,0.28045666217803955,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
19,0.5,40.106666564941406,0.0,0.2780352830886841,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
20,0.5,40.106666564941406,0.0,0.27560147643089294,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
21,0.5,40.106666564941406,0.0,0.27291300892829895,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
22,0.5,40.106666564941406,0.0,0.27041494846343994,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
23,0.5,40.106666564941406,0.0,0.2681155502796173,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
24,0.5,40.106666564941406,0.0,0.26574400067329407,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
25,0.5,40.106666564941406,0.0,0.2634584307670593,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
26,0.5,40.106666564941406,0.0,0.2608775794506073,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
27,0.5,40.106666564941406,0.0,0.25857725739479065,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
28,0.5,40.106666564941406,0.0,0.2566872239112854,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
29,0.5,40.106666564941406,0.0,0.2544997036457062,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
30,0.5,40.106666564941406,0.0,0.2524690628051758,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
31,0.5,40.106666564941406,0.0,0.2502909004688263,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
32,0.5,40.106666564941406,0.0,0.248067706823349,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
33,0.5,40.106666564941406,0.0,0.24635666608810425,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
34,0.5,40.106666564941406,0.0,0.24445925652980804,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
35,0.5,40.106666564941406,0.0,0.2425246238708496,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
36,0.5,40.106666564941406,0.0,0.24098706245422363,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
37,0.5,40.106666564941406,0.0,0.23888033628463745,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
38,0.5,40.106666564941406,0.0,0.23718248307704926,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
39,0.5,40.106666564941406,0.0,0.23536834120750427,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
40,0.5,40.106666564941406,0.0,0.23371607065200806,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
41,0.5,40.106666564941406,0.0,0.23241287469863892,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
42,0.5,40.106666564941406,0.0,0.23020344972610474,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
43,0.5,40.106666564941406,0.0,0.229111447930336,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
44,0.5,40.106666564941406,0.0,0.22736793756484985,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
45,0.5,40.106666564941406,0.0,0.22628970444202423,0.8433333039283752,256.0,1.0,0.0,0.0,0.0,215.89332580566406,0.0
