epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,tn_m,tp_m
0,0.5366175770759583,108.719482421875,16.13704490661621,0.17534320056438446,130.0299835205078,125.97002410888672,21.31049156188965,109.83297729492188
1,0.5470263361930847,105.61241912841797,15.820128440856934,0.17165404558181763,127.23983001708984,128.75802612304688,21.627408981323242,112.93790435791016
2,0.5526480674743652,104.72377014160156,15.578158378601074,0.17066940665245056,126.59314727783203,129.40684509277344,21.8693790435791,113.82869720458984
3,0.5525684952735901,108.73875427246094,14.796573638916016,0.16986732184886932,131.3897247314453,124.61027526855469,22.650962829589844,109.81370544433594
4,0.5539830923080444,117.86724090576172,13.087794303894043,0.16944091022014618,142.2269744873047,113.77301788330078,24.359743118286133,100.68522644042969
5,0.560547947883606,120.27409362792969,12.224839210510254,0.16867347061634064,145.4967803955078,110.50321197509766,25.222698211669922,98.27837371826172
6,0.5586224794387817,119.43254852294922,12.481799125671387,0.16882583498954773,144.39828491210938,111.60171508789062,24.96573829650879,99.11991119384766
7,0.555798351764679,121.49036407470703,12.286937713623047,0.16831187903881073,146.65097045898438,109.34903717041016,25.160598754882812,97.06209564208984
8,0.5631313920021057,125.15203094482422,11.149892807006836,0.16780292987823486,151.44967651367188,104.55032348632812,26.297643661499023,93.40042877197266
9,0.5603137612342834,127.20771026611328,11.027836799621582,0.16792671382427216,153.62741088867188,102.37258911132812,26.419700622558594,91.34475708007812
10,0.5652023553848267,127.77088165283203,10.597430229187012,0.1673635095357895,154.62098693847656,101.37901306152344,26.850107192993164,90.78158569335938
11,0.5651555061340332,130.19485473632812,10.115632057189941,0.16668318212032318,157.52676391601562,98.47323608398438,27.331905364990234,88.35760498046875
12,0.5670464038848877,127.61884307861328,10.406852722167969,0.1669422835111618,154.65953063964844,101.34046936035156,27.040685653686523,90.9336166381836
13,0.5662609338760376,129.73448181152344,10.139185905456543,0.16701002418994904,157.04283142089844,98.9571762084961,27.308351516723633,88.81798553466797
14,0.5661046504974365,132.79443359375,9.633832931518555,0.16638745367527008,160.60813903808594,95.39186096191406,27.813705444335938,85.7580337524414
