epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_pred_m,val_pos_pred_m,val_precision_m,val_recall_m,val_tn_m,val_tp_m
0,0.5128337740898132,5.716980934143066,158.4339599609375,0.09513761103153229,84.69811248779297,171.3018798828125,0.07416529208421707,0.6929986476898193,78.98113250732422,12.867924690246582,0.5001530051231384,62.272727966308594,0.7272727489471436,0.6062934994697571,255.0,1.0,0.15909089148044586,0.0041172499768435955,192.72727966308594,0.27272728085517883
1,0.546687662601471,9.95283031463623,88.01886749267578,0.09316948801279068,159.34906005859375,96.65093994140625,0.09070044010877609,0.46414634585380554,149.39622497558594,8.632075309753418,0.5024796724319458,62.09090805053711,0.3636363744735718,0.5832148194313049,255.18182373046875,0.8181818127632141,0.40909087657928467,0.006818113848567009,193.09091186523438,0.4545454680919647
2,0.5774713754653931,9.811320304870605,74.82075500488281,0.09178732335567474,172.40565490722656,83.5943374633789,0.10537675023078918,0.4701579511165619,162.59434509277344,8.773585319519043,0.4947657585144043,60.727272033691406,7.363636493682861,0.6191449761390686,246.81817626953125,9.181818008422852,0.20389613509178162,0.027444345876574516,186.09091186523438,1.8181818723678589
3,0.6033196449279785,8.575471878051758,78.38679504394531,0.08985146880149841,167.60377502441406,88.39622497558594,0.11516984552145004,0.5369688272476196,159.02830505371094,10.00943374633789,0.49284982681274414,59.3636360168457,12.363636016845703,0.611668586730957,240.4545440673828,15.545454978942871,0.20231150090694427,0.04964084550738335,181.09091186523438,3.1818182468414307
4,0.6253606677055359,7.877358436584473,76.24528503417969,0.0875014066696167,169.0471649169922,86.95282745361328,0.12350725382566452,0.5721461772918701,161.16981506347656,10.707547187805176,0.4874666929244995,59.45454406738281,14.181818008422852,0.6118817925453186,238.72727966308594,17.272727966308594,0.18245480954647064,0.048288945108652115,179.27272033691406,3.090909004211426
5,0.6494805216789246,7.056603908538818,76.82075500488281,0.08537033200263977,167.65093994140625,88.34906005859375,0.13238400220870972,0.6225916743278503,160.59434509277344,11.528302192687988,0.4765152633190155,53.09090805053711,38.181819915771484,0.6572653651237488,208.36363220214844,47.6363639831543,0.1985304355621338,0.15091276168823242,155.27272033691406,9.454545021057129
6,0.6724348068237305,6.160377502441406,76.81131744384766,0.08257775753736496,166.76414489746094,89.23584747314453,0.14002788066864014,0.6684921979904175,160.60377502441406,12.424528121948242,0.48917245864868164,50.09090805053711,42.272727966308594,0.6699230074882507,201.27272033691406,54.727272033691406,0.2260330766439438,0.19721104204654694,151.18182373046875,12.454545021057129
7,0.6981680393218994,5.283019065856934,75.7264175415039,0.07953740656375885,166.97169494628906,89.02830505371094,0.15120002627372742,0.7153245210647583,161.6886749267578,13.301886558532715,0.48289424180984497,50.45454406738281,44.0,0.6689843535423279,199.90908813476562,56.09090805053711,0.21395960450172424,0.1939287632703781,149.4545440673828,12.090909004211426
8,0.7150490880012512,4.735848903656006,74.67924499511719,0.07643457502126694,167.47169494628906,88.52830505371094,0.15722957253456116,0.7446839809417725,162.73585510253906,13.849056243896484,0.48635682463645935,53.0,34.90909194946289,0.6529988646507263,211.5454559326172,44.45454406738281,0.21042156219482422,0.15378449857234955,158.5454559326172,9.545454978942871
9,0.7272047996520996,4.4811320304870605,70.88679504394531,0.07370948046445847,171.00942993164062,84.99056243896484,0.16581566631793976,0.7530695796012878,166.52830505371094,14.10377311706543,0.4827073812484741,53.3636360168457,35.09090805053711,0.6603263020515442,211.72727966308594,44.272727966308594,0.20466293394565582,0.14708362519741058,158.36363220214844,9.181818008422852
